animal ID,Sex,Treatment,DOB,DOD,Days lived,Status,Comments,,,,,
SOD10015.01,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"No WT animals died during course of study, hence survival was artificially set to 200 days",,,,,
SOD10015.02,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"All wild type mice lived until the end of the study and were ""censored"" after 200 days (Denoted by a status of 0). All SOD1 mice died before the end of the study (Denoted by a status of 1)",,,,,
SOD10015.03,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"WT_Vehicle_SID = Wild type mice, single daily dose of vehicle",,,,,
SOD10015.04,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"SOD1_veh_SID = SOD1 mice, single daily dose of vehicle",,,,,
SOD10016.01,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"SOD1_veh_BID = SOD1 mice, double daily dose of vehicle",,,,,
SOD10016.02,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"SOD1_SID_350mg/kg = SOD1 mice, single daily dose of 350 mg/kg compound in males",,,,,
SOD10016.03,FEMALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,"SOD1_BID_350mg/kg = SOD1 mice, double daily dose of 350 mg/kg compound in males",,,,,
SOD10082.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,"SOD1_SID_200mg/kg = SOD1 mice, single daily dose of 200 mg/kg compound in females",,,,,
SOD10083.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,"SOD1_BID_200mg/kg = SOD1 mice, double daily dose of 200 mg/kg compound in females",,,,,
SOD10084.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10085.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10086.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10087.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10088.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10033.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10034.01,FEMALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10013.01,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10013.02,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10013.03,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10013.04,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10014.01,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10014.02,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10014.03,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10014.04,MALE,WT_Vehicle_SID,10/22/2019,N/A,200,0,,,,,,
SOD10075.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10076.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10077.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10078.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10079.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10080.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10081.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10031.01,MALE,WT_Vehicle_SID,11/19/2019,N/A,200,0,,,,,,
SOD10012.01,FEMALE,SOD1_veh_SID,10/22/2019,3/8/2020,138,1,,,,,,
SOD10012.03,FEMALE,SOD1_veh_SID,10/22/2019,3/2/2020,132,1,,,,,,
SOD10012.04,FEMALE,SOD1_veh_SID,10/22/2019,2/20/2020,121,1,,,,,,
SOD10065.01,FEMALE,SOD1_veh_SID,11/19/2019,2/27/2020,100,1,,,,,,
SOD10066.01,FEMALE,SOD1_veh_SID,11/19/2019,3/2/2020,104,1,,,,,,
SOD10067.01,FEMALE,SOD1_veh_SID,11/19/2019,4/8/2020,141,1,,,,,,
SOD10068.01,FEMALE,SOD1_veh_SID,11/19/2019,3/11/2020,113,1,,,,,,
SOD10069.01,FEMALE,SOD1_veh_SID,11/19/2019,3/20/2020,122,1,,,,,,
SOD10006.01,MALE,SOD1_veh_SID,10/22/2019,2/21/2020,122,1,,,,,,
SOD10006.02,MALE,SOD1_veh_SID,10/22/2019,2/20/2020,121,1,,,,,,
SOD10006.03,MALE,SOD1_veh_SID,10/22/2019,3/7/2020,137,1,,,,,,
SOD10006.04,MALE,SOD1_veh_SID,10/22/2019,2/20/2020,121,1,,,,,,
SOD10047.01,MALE,SOD1_veh_SID,11/19/2019,3/16/2020,118,1,,,,,,
SOD10048.01,MALE,SOD1_veh_SID,11/19/2019,3/2/2020,104,1,,,,,,
SOD10049.01,MALE,SOD1_veh_SID,11/19/2019,3/30/2020,132,1,,,,,,
SOD10050.01,MALE,SOD1_veh_SID,11/19/2019,3/18/2020,120,1,,,,,,
SOD10011.01,FEMALE,SOD1_veh_BID,10/22/2019,3/10/2020,140,1,,,,,,
SOD10011.02,FEMALE,SOD1_veh_BID,10/22/2019,3/13/2020,143,1,,,,,,
SOD10011.03,FEMALE,SOD1_veh_BID,10/22/2019,3/2/2020,132,1,,,,,,
SOD10070.01,FEMALE,SOD1_veh_BID,11/19/2019,3/16/2020,118,1,,,,,,
SOD10071.01,FEMALE,SOD1_veh_BID,11/19/2019,4/6/2020,139,1,,,,,,
SOD10072.01,FEMALE,SOD1_veh_BID,11/19/2019,3/1/2020,103,1,,,,,,
SOD10073.01,FEMALE,SOD1_veh_BID,11/19/2019,3/27/2020,129,1,,,,,,
SOD10074.01,FEMALE,SOD1_veh_BID,11/19/2019,3/29/2020,131,1,,,,,,
SOD10005.01,MALE,SOD1_veh_BID,10/22/2019,3/1/2020,131,1,,,,,,
SOD10005.02,MALE,SOD1_veh_BID,10/22/2019,2/26/2020,127,1,,,,,,
SOD10005.03,MALE,SOD1_veh_BID,10/22/2019,2/27/2020,128,1,,,,,,
SOD10005.04,MALE,SOD1_veh_BID,10/22/2019,2/21/2020,122,1,,,,,,
SOD10051.01,MALE,SOD1_veh_BID,11/19/2019,3/30/2020,132,1,,,,,,
